Epoch,Train_total_loss,Val_total_loss,Train_commit_loss,Val_commit_loss,Train_codes_usage,Val_codes_usage,Train_recon_loss,Val_recon_loss,Train_flatness_loss,Val_flatness_loss
1,240.65511318396113,30.31877143473565,0.11437863624264283,0.17554326908749368,1.0,1.0,239.49342577409593,29.03855079940603,0.17455149828031155,0.18411287633930076
2,23.607204213691237,19.532772812662245,0.22792614521232551,0.2777703235923992,1.0,1.0,22.00784201657256,17.731395109796324,0.228572676385091,0.2539345607601641
3,17.231917690450313,15.1943547132146,0.33984390338597603,0.4002287128806617,1.0,1.0,15.642925109379899,13.79677161687537,0.20819144795915268,0.16622573175007785
4,13.242399664841585,11.341223157407866,0.4933081018446365,0.5531626268278195,1.0,1.0,12.040510367944348,10.191686976308057,0.11809686410861382,0.09939558618556599
5,9.430128186154391,8.274286221854295,0.6631703862670608,0.7472682084715316,1.0,1.0,8.31853741350748,7.196791516074652,0.07473673105019576,0.055037750096260746
6,7.7986195014421895,7.579843414483694,0.8666338869611464,1.0241449985826065,1.0,1.0,6.646767014560881,6.326276135344043,0.04753643322299375,0.03823705093015598
7,7.159861664333968,6.882584803215059,1.0398574310346038,1.0711865216367857,1.0,1.0,5.931607977012143,5.63344235561065,0.03139937600590989,0.029659319661148993
8,6.633598162984395,6.409154004688505,1.1538638164778068,1.1694555956603103,1.0,1.0,5.347506578016432,5.1255864835489655,0.022037962234235806,0.019018654043507225
9,6.197327111313688,6.080189837685114,1.2240258277784306,1.2528696382096045,1.0,1.0,4.870052418713836,4.7265765656901815,0.017208143574045036,0.01679060795199016
10,5.846224999352267,5.753521301575351,1.2638587124622107,1.2592761964234622,1.0,1.0,4.494732935300221,4.393217163246895,0.014605559637807427,0.016837985223387114
11,5.570394774298985,5.553092226197448,1.2869710632714952,1.3157218845584724,1.0,1.0,4.205325696637034,4.147567315443658,0.013016335296404273,0.014967169467249752
12,5.339954274005346,5.2985608487189575,1.2902179068975237,1.2906176877927176,1.0,1.0,3.9757224113661738,3.925698135472551,0.01233566022864538,0.013707502890488266
13,5.150750027286969,5.117232141615469,1.2849572807581902,1.2306547783598114,1.0,1.0,3.79425427276708,3.7966217008824086,0.011923079838171806,0.014992613070310419
14,5.000815535044846,5.059912951183722,1.27373747677083,1.295279098462455,1.0,1.0,3.6579128882701193,3.6850901756608536,0.011527528341686492,0.013257282998271381
15,4.8669601906692845,4.831747425256399,1.2515630058653127,1.1891541732514457,1.0,1.0,3.5478149870255176,3.5621874966198885,0.011263698802664954,0.013400954610907831
16,4.762762336066306,4.954498303087452,1.234580506367064,1.256516572292344,1.0,1.0,3.4612716817805484,3.6241323243716597,0.011151691666118792,0.01230823216598308
17,4.672340242009228,4.732084658578478,1.217728907983935,1.2426612276568192,1.0,1.0,3.3876578105414934,3.413799864330372,0.011158920662259288,0.012603933620364858
18,4.573817050192651,4.599101195355508,1.1926319823219758,1.1681092580159504,1.0,1.0,3.315123889111415,3.3566528473222306,0.011010197491838411,0.012389845006513696
19,4.490666996211663,4.507117617482375,1.170501265757439,1.1283819615086423,1.0,1.0,3.2550575680314804,3.3016896559719293,0.010851360768484936,0.012841001573462778
20,4.419695001721005,4.485637467621751,1.1493118287643385,1.1340129118931443,1.0,1.0,3.205354826503218,3.276999293500361,0.010838058455566922,0.0124375415014944
21,4.35468870080386,4.422312241566332,1.1315060898016474,1.1163968989617714,1.0,1.0,3.158128445352395,3.22873182638788,0.010842361195365,0.01286392453429191
22,4.297607868500722,4.382468298014709,1.1159554256682915,1.1088729412746832,1.0,1.0,3.116710431724315,3.195674739306486,0.010823668464585557,0.012986768767992152
23,4.240667415647094,4.293335121895191,1.1013684855595058,1.0756068732668076,1.0,1.0,3.0748564043921176,3.1367340319267307,0.010740420367537262,0.013499035940108671
24,4.1885522816727505,4.291650500478624,1.0849997430819518,1.0955579195344498,1.0,1.0,3.040025564030584,3.1213390062629927,0.01058782829431996,0.01245892891966844
25,4.144741741631577,4.264295344614278,1.0746933381056458,1.0608719212596427,1.0,1.0,3.0072502810449007,3.131058485699102,0.010466351768802439,0.01206082416077455
26,4.102291107681259,4.267025310781937,1.0620617520343414,1.0661836372146123,1.0,1.0,2.9778248523583257,3.128504208874602,0.010400749553671576,0.012056244940021495
27,4.056927499448863,4.144187831677465,1.0464166074896815,1.034708285885018,1.0,1.0,2.9487115281939884,3.0245003247562843,0.010299893884812387,0.014163203325264061
28,4.025818373358867,4.100489265305081,1.0378509837319758,1.0312252416892393,1.0,1.0,2.9265354631317204,2.9994060802057323,0.010238654132629523,0.011642990453082298
29,3.9858927114964033,4.119295438130696,1.0268763033742008,1.039677957190743,1.0,1.0,2.8977854513694012,3.0041457298938736,0.010205159542065237,0.012578624296729072
30,3.954654813945734,4.09522971523462,1.0193427389501393,1.051094391677953,1.0,1.0,2.8749986437583046,2.9774790604909263,0.010052239444645745,0.011109380037739936
31,3.926746731700716,3.999014496300291,1.012081514001522,0.9888647462748275,1.0,1.0,2.8540849350825535,2.9310176261869665,0.010096715338362938,0.013188688648385212
32,3.897945370820155,3.96674810683174,1.002838090140817,0.9991615009710255,1.0,1.0,2.8353695884551517,2.902517340857268,0.009956281841658803,0.010844876669457316
33,3.8719302449835644,3.9843196758238073,0.9973223804798146,0.9929922738658727,1.0,1.0,2.8154815184906394,2.9194827441927753,0.009854391394251882,0.011974110967530732
34,3.845987484850375,3.931656930014051,0.9890312196208909,0.9722122683303769,1.0,1.0,2.79838121654869,2.891434270118359,0.009762507032823317,0.011335065480290209
35,3.8218392119865863,4.0704497365508905,0.9820732987292087,0.9656084977121796,1.0,1.0,2.781201357574624,3.0367562106893033,0.009760760056069307,0.011347505544952828
36,3.794831751266528,3.9518023331960044,0.9736334935161103,0.9587263354269261,1.0,1.0,2.7634687418670816,2.9285723851199896,0.009621586343775078,0.010750600883446414
37,3.768267151168936,3.82276903627291,0.9656857047564377,0.946715655206125,1.0,1.0,2.7449721726092267,2.813659385286806,0.009601545932190345,0.010398998516631404
38,3.7433365617407666,3.8792314298042263,0.9555714250617948,1.001189720278551,1.0,1.0,2.730313291015947,2.8118064614790903,0.009575307647055439,0.011039206235500578
39,3.727753827287378,3.9018691662494644,0.952760859301123,0.9729784948413382,1.0,1.0,2.7181548445378336,2.8658490020011547,0.009473020343135534,0.010506944076594296
40,3.702051446958983,3.7910869855920977,0.9438423703817027,0.9157334206476493,1.0,1.0,2.701042981938299,2.804434934245886,0.009527682459499164,0.011819770614683377
41,3.683216636762448,3.8322998330562927,0.9389872876366693,0.9415918606243053,1.0,1.0,2.6873030362939887,2.8208170922999645,0.009487719721541422,0.011648480342268818
42,3.667105788036536,3.7893802174032993,0.9355449991216126,0.9487123124710115,1.0,1.0,2.6749367696304884,2.7733171690365435,0.009437336335145527,0.011225124357370385
43,3.64864735845024,3.732136982905714,0.9291234915208666,0.9343943578281483,1.0,1.0,2.6630502449547224,2.7313918544270317,0.009412269702981745,0.011058462506655273
44,3.6294260825627456,3.753967018570075,0.9236843739542815,0.9225430151581261,1.0,1.0,2.64971716200034,2.7504953241549464,0.009337424171287979,0.013488114249542795
45,3.6135920521576024,3.735664614142245,0.9181332947586003,0.9152578228636633,1.0,1.0,2.6392337923442675,2.754907688511072,0.009370827472079329,0.010916515273132405
46,3.5919110921015833,3.8632637699948082,0.9102430439926881,0.9237431119262921,1.0,1.0,2.6255913470589496,2.876428222857447,0.009346116963604814,0.01051540443288626
47,3.5729713684150513,3.7365677718874775,0.9045876350800616,0.9039472225849136,1.0,1.0,2.6128740237657975,2.7555224221466967,0.009251618329553601,0.012849689150849978
48,3.5507342243899513,3.6452916624173834,0.8957332654638804,0.8907038559390523,1.0,1.0,2.5995722202212406,2.6945324276067035,0.009238122212046555,0.010009229984841769
49,3.5313536977314772,3.655189229466241,0.8881095661658798,0.8902823703701486,1.0,1.0,2.5879008054985038,2.6908717356653655,0.009223887889617473,0.012339188872526089
50,3.515454552619233,3.649718148798882,0.8823854474482592,0.8817859724604128,1.0,1.0,2.577744228912885,2.699613731118697,0.00922081215944389,0.011386407059833471
